MSSubClass,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageFinish,GarageCars,WoodDeckSF,OpenPorchSF,MoSold,YrSold
_2,70.0,12968.0,IR2,Inside,Sawyer,1Story,5,6,1962,1962,Hip,HdBoard,0.0,TA,CBlock,TA,No,ALQ,737.0,175.0,912.0,TA,0.0,912.0,1,1,0,2,TA,0,Detchd,Unf,1,140.0,0.0,9,2008
_2,91.0,10652.0,IR1,Inside,CollgCr,1Story,7,5,2006,2007,Gable,VinylSd,306.0,Gd,PConc,Gd,Av,Unf,0.0,1494.0,1494.0,Ex,0.0,1494.0,0,2,0,3,Gd,1,Attchd,RFn,3,160.0,33.0,8,2007
_2,70.0,10920.0,IR1,Corner,NAmes,1Story,6,5,1960,1960,Hip,MetalSd,212.0,TA,CBlock,TA,No,BLQ,733.0,520.0,1253.0,TA,0.0,1253.0,1,1,1,2,TA,1,Attchd,RFn,1,0.0,213.0,5,2008
_1,51.0,6120.0,Reg,Corner,other_1,other,7,8,1929,2001,Gable,Wd Sdng,0.0,TA,BrkTil,TA,No,Unf,0.0,832.0,832.0,Ex,0.0,854.0,0,1,0,2,TA,0,Detchd,Unf,2,48.0,112.0,7,2007
_2,70.0,11241.0,IR1,CulDSac,NAmes,1Story,6,7,1970,1970,Gable,Wd Sdng,180.0,TA,CBlock,TA,No,ALQ,578.0,426.0,1004.0,Ex,0.0,1004.0,1,1,0,2,TA,1,Attchd,Fin,2,0.0,0.0,3,2010
_1,72.0,10791.0,Reg,Inside,Sawyer,1Story,4,5,1967,1967,Gable,MetalSd,0.0,TA,Slab,Gd,No,GLQ,0.0,0.0,0.0,TA,0.0,1296.0,0,2,0,2,TA,0,CarPort,Unf,2,0.0,0.0,10,2006
_2,66.0,13695.0,Reg,Inside,other_2,1Story,5,5,2004,2004,Gable,VinylSd,0.0,TA,PConc,TA,No,GLQ,646.0,468.0,1114.0,Ex,0.0,1114.0,1,1,1,3,Gd,0,Detchd,Unf,2,0.0,102.0,6,2008
_2,70.0,7560.0,Reg,Inside,NAmes,1Story,5,6,1958,1965,Hip,BrkFace,0.0,TA,CBlock,TA,No,LwQ,504.0,525.0,1029.0,TA,0.0,1339.0,0,1,0,3,TA,0,Attchd,Unf,1,0.0,0.0,5,2009
_3,101.0,14215.0,IR1,Corner,NridgHt,2Story,8,5,2005,2006,Gable,VinylSd,380.0,Gd,PConc,Ex,Av,Unf,0.0,1158.0,1158.0,Ex,1218.0,2376.0,0,3,1,4,Gd,1,BuiltIn,RFn,3,240.0,154.0,11,2006
_1,57.0,7449.0,Reg,Inside,other_1,other,7,7,1930,1950,Gable,Wd Sdng,0.0,TA,PConc,TA,No,Unf,0.0,637.0,637.0,Ex,0.0,1108.0,0,1,0,3,Gd,1,Attchd,Unf,1,0.0,0.0,6,2007
_2,75.0,9742.0,Reg,Inside,CollgCr,1Story,8,5,2002,2002,Hip,VinylSd,281.0,Gd,PConc,Gd,No,Unf,0.0,1777.0,1777.0,Ex,0.0,1795.0,0,2,0,3,Gd,1,Attchd,RFn,2,171.0,159.0,9,2008
_2,44.0,4224.0,Reg,Inside,other_1,1Story,5,7,1976,1976,Gable,CemntBd,0.0,TA,PConc,Gd,No,GLQ,840.0,200.0,1040.0,TA,0.0,1060.0,1,1,0,3,TA,1,Attchd,Unf,2,100.0,110.0,6,2007
_2,70.0,8246.0,IR1,Inside,Sawyer,1Story,5,8,1968,2001,Gable,Plywood,0.0,TA,CBlock,TA,Mn,Rec,188.0,204.0,1060.0,Ex,0.0,1060.0,1,1,0,3,Gd,1,Attchd,Unf,1,406.0,90.0,5,2010
_2,110.0,14230.0,Reg,Corner,NridgHt,1Story,8,5,2007,2007,Gable,VinylSd,640.0,Gd,PConc,Gd,No,Unf,0.0,1566.0,1566.0,Ex,0.0,1600.0,0,2,0,3,Gd,1,Attchd,RFn,3,0.0,56.0,7,2009
_2,60.0,7200.0,Reg,Corner,NAmes,1Story,5,7,1951,2000,Gable,Wd Sdng,0.0,TA,CBlock,TA,Mn,BLQ,234.0,180.0,900.0,TA,0.0,900.0,0,1,0,3,Gd,0,Detchd,Unf,2,222.0,32.0,5,2010
_2,98.0,11478.0,Reg,Inside,NridgHt,1Story,8,5,2007,2008,Gable,VinylSd,200.0,Gd,PConc,Ex,No,GLQ,1218.0,486.0,1704.0,Ex,0.0,1704.0,1,2,0,3,Gd,1,Attchd,RFn,3,0.0,50.0,5,2010
_2,47.0,16321.0,IR1,CulDSac,NAmes,1Story,5,6,1957,1997,Gable,MetalSd,0.0,TA,CBlock,TA,Gd,BLQ,1277.0,207.0,1484.0,TA,0.0,1600.0,1,1,0,2,TA,2,Attchd,RFn,1,288.0,258.0,12,2006
_1,60.0,6324.0,IR1,Inside,other_1,1Story,4,6,1927,1950,Gable,MetalSd,0.0,TA,BrkTil,TA,No,Unf,0.0,520.0,520.0,Fa,0.0,692.18,0,1,0,1,Fa,0,Detchd,Unf,1,49.0,0.0,5,2008
_2,50.0,8500.0,Reg,Inside,other_1,2Story,4,4,1920,1950,Gambrel,BrkFace,0.0,TA,BrkTil,TA,No,Unf,0.0,649.0,649.0,TA,668.0,1317.0,0,1,0,3,TA,0,Detchd,Unf,1,0.0,54.0,7,2008
_2,70.0,8544.0,IR1,CulDSac,Sawyer,1Story,5,6,1966,2006,Gable,HdBoard,0.0,TA,CBlock,TA,No,Unf,0.0,1228.0,1228.0,Gd,0.0,1228.0,0,1,1,3,Gd,0,Attchd,Unf,1,0.0,65.0,6,2008
_2,85.0,11049.0,Reg,Corner,CollgCr,1Story,8,5,2007,2007,Gable,VinylSd,0.0,Gd,PConc,Ex,Av,Unf,0.0,1234.0,1234.0,Ex,0.0,1234.0,0,2,0,3,Gd,0,Attchd,RFn,2,0.0,30.0,1,2008
_2,70.0,10552.0,IR1,Inside,NAmes,1Story,5,5,1959,1959,Hip,BrkFace,0.0,TA,CBlock,TA,No,Rec,1018.0,380.0,1398.0,Gd,0.0,1700.0,0,1,1,4,Gd,1,Attchd,RFn,2,0.0,38.0,4,2010
_2,60.0,7313.0,Reg,Inside,NridgHt,1Story,9,5,2005,2005,Hip,MetalSd,246.0,Ex,PConc,Ex,No,GLQ,1153.0,408.0,1561.0,Ex,0.0,1561.0,1,2,0,2,Ex,1,Attchd,Fin,2,203.0,47.0,8,2007
_3,108.0,13418.0,Reg,Inside,NridgHt,2Story,8,5,2004,2005,Gable,VinylSd,132.0,Gd,PConc,Ex,Av,Unf,0.0,1117.0,1117.0,Ex,1320.0,2452.0,0,3,1,4,Gd,1,BuiltIn,Fin,3,113.0,32.0,9,2006
_2,112.0,10859.0,Reg,Corner,CollgCr,1Story,5,5,1994,1995,Gable,VinylSd,0.0,TA,PConc,Gd,No,Unf,0.0,1097.0,1097.0,Ex,0.0,1097.0,0,1,1,3,TA,0,Attchd,Unf,2,392.0,64.0,6,2009
_2,74.0,8532.0,Reg,Inside,NAmes,1Story,5,6,1954,1990,Hip,Wd Sdng,650.0,TA,CBlock,TA,No,Rec,1213.0,84.0,1297.0,Gd,0.0,1297.0,0,1,0,3,TA,1,Attchd,Fin,2,0.0,0.0,10,2009
_2,68.0,7922.0,Reg,Inside,NAmes,1Story,5,7,1953,2007,Gable,VinylSd,0.0,TA,CBlock,TA,No,GLQ,731.0,326.0,1057.0,TA,0.0,1057.0,1,1,0,3,Gd,0,Detchd,Unf,1,0.0,52.0,1,2010
_1,65.0,6040.0,Reg,Inside,Edwards,1Story,4,5,1955,1955,Gable,other,0.0,TA,PConc,Gd,No,GLQ,0.0,0.0,0.0,TA,0.0,1152.0,0,2,0,2,Fa,0,Attchd,RFn,0,0.0,0.0,6,2008
_2,84.0,8658.0,Reg,Inside,NAmes,1Story,6,5,1965,1965,Gable,Wd Sdng,101.0,TA,CBlock,TA,No,Rec,643.0,445.0,1088.0,Ex,0.0,1324.0,0,2,0,3,TA,1,Attchd,RFn,2,0.0,138.0,12,2006
_2,115.0,16905.0,Reg,Inside,other_3,1Story,5,6,1959,1959,Gable,VinylSd,0.0,TA,CBlock,TA,Gd,BLQ,967.0,383.0,1350.0,Gd,0.0,1328.0,0,1,1,2,TA,2,Attchd,RFn,1,0.0,104.0,7,2007
_1,70.0,9180.0,IR1,CulDSac,other_2,other,5,7,1983,1983,Gable,HdBoard,0.0,TA,CBlock,Gd,Av,ALQ,747.0,0.0,840.0,Gd,0.0,884.0,1,1,0,2,Gd,0,Attchd,RFn,2,240.0,0.0,12,2007
_2,70.0,9200.0,IR1,CulDSac,CollgCr,1Story,5,6,1975,1980,Hip,VinylSd,0.0,TA,CBlock,Gd,Av,LwQ,280.0,167.0,938.0,TA,0.0,938.0,1,1,0,3,TA,0,Detchd,Unf,1,145.0,0.0,7,2008
_2,70.0,7945.0,Reg,Inside,NAmes,1Story,5,6,1959,1959,Gable,BrkFace,0.0,TA,CBlock,TA,No,ALQ,179.0,465.0,1150.0,Ex,0.0,1150.0,1,1,0,3,TA,0,Attchd,RFn,1,0.0,0.0,5,2006
_2,61.0,7658.0,Reg,Inside,NridgHt,1Story,9,5,2005,2005,Hip,MetalSd,412.0,Ex,PConc,Ex,No,GLQ,456.0,1296.0,1752.0,Ex,0.0,1752.0,1,2,0,2,Ex,1,Attchd,RFn,2,196.0,82.0,2,2010
_1,48.0,12822.0,IR1,CulDSac,other_2,1.5Fin,7,5,2003,2003,Gable,VinylSd,0.0,Gd,PConc,Ex,No,GLQ,1351.0,83.0,1434.0,Ex,631.0,2149.0,1,1,1,1,Gd,1,Attchd,RFn,2,168.0,43.0,8,2009
_2,84.0,11096.0,Reg,Inside,Somerst,1Story,8,5,2006,2006,Gable,VinylSd,0.0,Gd,PConc,Gd,Av,GLQ,24.0,1632.0,1656.0,Ex,0.0,1656.0,0,2,0,3,Gd,0,Attchd,RFn,3,0.0,146.0,7,2007
_1,33.0,4456.0,Reg,Inside,OldTown,2Story,4,5,1920,2008,Gable,MetalSd,0.0,TA,BrkTil,TA,No,Unf,0.0,736.0,736.0,Gd,716.0,1452.0,0,2,0,2,TA,0,Attchd,RFn,0,0.0,0.0,6,2009
_2,66.0,7742.0,Reg,Inside,Sawyer,1Story,5,7,1966,1966,Gable,HdBoard,0.0,TA,CBlock,TA,No,BLQ,763.0,192.0,955.0,Ex,0.0,955.0,1,1,0,3,TA,0,Attchd,Unf,1,0.0,0.0,1,2007
_3,70.0,13869.0,IR2,Corner,Gilbert,2Story,6,6,1997,1997,Gable,VinylSd,0.0,TA,PConc,Gd,Av,GLQ,182.0,612.0,794.0,Gd,676.0,1470.0,0,2,0,3,TA,0,Attchd,Fin,2,0.0,75.0,7,2007
_1,52.0,6240.0,Reg,Inside,other_1,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,0.0,TA,PConc,TA,No,Unf,0.0,816.0,816.0,TA,0.0,1176.0,0,1,0,3,TA,1,Detchd,Unf,2,112.0,0.0,9,2006
_1,110.0,8472.0,IR2,Corner,other_1,1Story,5,5,1963,1963,Gable,Wd Sdng,0.0,Fa,CBlock,Gd,Gd,LwQ,104.0,0.0,816.0,TA,0.0,816.0,1,1,0,2,TA,0,CarPort,Unf,2,106.0,0.0,5,2010
_2,68.0,37567.64000000021,IR1,Inside,other_3,1Story,9,5,1981,1987,Gable,other,0.0,Gd,CBlock,Ex,Gd,GLQ,1572.41,32.0,1842.0,Gd,0.0,1842.0,2,0,1,0,Gd,1,Attchd,Fin,3,505.4600000000005,72.0,11,2006
_2,60.0,7134.0,Reg,Inside,NAmes,SLvl,5,5,1955,1955,Gable,MetalSd,0.0,TA,CBlock,TA,No,ALQ,384.0,0.0,384.0,TA,0.0,1360.0,0,1,0,3,TA,1,Detchd,Unf,2,0.0,50.0,2,2007
_2,100.0,10175.0,IR1,Inside,NAmes,1Story,6,5,1964,1964,Gable,HdBoard,272.0,TA,CBlock,TA,No,BLQ,490.0,935.0,1425.0,Gd,0.0,1425.0,0,2,0,3,TA,1,Attchd,RFn,2,0.0,0.0,7,2008
_1,24.0,2645.0,Reg,Inside,Somerst,2Story,8,5,1999,2000,Gable,MetalSd,456.0,Gd,PConc,Gd,No,GLQ,649.0,321.0,970.0,Ex,756.0,1739.0,1,2,1,3,Gd,0,Attchd,Fin,2,115.0,0.0,8,2009
_3,89.0,11645.0,IR1,Corner,CollgCr,2Story,7,5,2004,2004,Gable,VinylSd,0.0,Gd,PConc,Gd,No,Unf,0.0,860.0,860.0,Ex,860.0,1720.0,0,2,1,3,Gd,0,Attchd,RFn,2,0.0,70.0,8,2006
_3,66.0,13682.0,IR2,CulDSac,other_4,2Story,10,5,2006,2006,Hip,VinylSd,791.2800000000007,Ex,PConc,Ex,Gd,Unf,0.0,1410.0,1410.0,Ex,1418.920000000001,2945.0,0,3,1,3,Gd,1,BuiltIn,Fin,3,192.0,0.0,10,2006
_2,60.0,7200.0,Reg,Inside,CollgCr,1Story,5,7,1972,1972,Gable,HdBoard,0.0,TA,CBlock,TA,Av,ALQ,632.0,148.0,780.0,Ex,0.0,780.0,0,1,0,2,TA,0,Detchd,Unf,1,196.0,0.0,1,2008
_2,63.0,13072.0,Reg,Inside,other_2,1Story,6,5,2004,2004,Gable,VinylSd,0.0,TA,PConc,Gd,No,ALQ,941.0,217.0,1158.0,Ex,0.0,1158.0,1,1,1,3,Gd,0,Detchd,Unf,2,0.0,50.0,5,2006
_2,60.0,7200.0,Reg,Inside,other_1,other,5,7,1920,1996,Gable,MetalSd,0.0,TA,BrkTil,TA,No,Unf,0.0,530.0,530.0,TA,530.0,1111.0,0,1,0,3,Fa,0,Detchd,Unf,1,0.0,0.0,3,2007
_2,44.0,6442.0,IR1,Inside,NridgHt,1Story,8,5,2006,2006,Gable,VinylSd,178.0,Gd,PConc,Gd,Mn,GLQ,24.0,1346.0,1370.0,Ex,0.0,1370.0,0,2,0,2,Gd,1,Attchd,RFn,2,120.0,49.0,10,2007
_2,50.0,10300.0,IR1,Inside,OldTown,2Story,7,6,1921,1950,Gable,other,0.0,TA,BrkTil,TA,No,Unf,0.0,576.0,576.0,Gd,808.0,1710.0,0,2,0,3,TA,0,Detchd,Unf,2,12.0,11.0,4,2010
_3,70.0,9375.0,Reg,Inside,CollgCr,2Story,7,5,1997,1998,Gable,VinylSd,573.0,TA,PConc,Gd,No,GLQ,739.0,318.0,1057.0,Ex,977.0,2034.0,1,2,1,3,Gd,0,Attchd,RFn,2,505.4600000000005,36.0,2,2009
_3,76.0,9591.0,Reg,Inside,NridgHt,2Story,8,5,2004,2005,Gable,VinylSd,344.0,Gd,PConc,Ex,Av,Unf,0.0,1143.0,1143.0,Ex,1330.0,2473.0,0,2,1,4,Gd,1,BuiltIn,RFn,3,192.0,151.0,10,2007
_2,70.0,19900.0,Reg,Inside,NAmes,1Story,7,5,1970,1989,Gable,Plywood,287.0,TA,CBlock,Gd,Gd,GLQ,912.0,1035.0,1947.0,TA,0.0,2207.0,1,2,0,3,TA,1,Attchd,RFn,2,301.0,0.0,7,2010
_2,72.0,10665.0,IR1,Inside,CollgCr,1Story,7,5,2003,2003,Gable,VinylSd,167.0,Gd,PConc,Gd,Av,GLQ,1013.0,440.0,1453.0,Ex,0.0,1479.0,1,2,0,3,Gd,0,Attchd,RFn,2,144.0,29.0,6,2007
_1,47.0,4608.0,Reg,Corner,OldTown,1Story,4,6,1945,1950,Gable,MetalSd,0.0,TA,CBlock,TA,No,Unf,0.0,747.0,747.0,TA,0.0,747.0,0,1,0,2,TA,0,Attchd,Unf,1,0.0,0.0,6,2010
_1,81.0,15593.0,Reg,Corner,other_3,1.5Fin,7,4,1953,1953,Gable,BrkFace,0.0,Gd,CBlock,TA,No,BLQ,603.0,701.0,1304.0,TA,983.0,2287.0,0,2,0,3,TA,1,Attchd,Fin,2,0.0,21.0,7,2006
_2,95.0,13651.0,IR1,Inside,NAmes,1Story,7,6,1973,1973,Gable,Plywood,791.2800000000007,TA,CBlock,Gd,Gd,ALQ,1572.41,343.0,2155.05,Ex,0.0,2223.0,1,2,0,3,TA,2,Attchd,Fin,2,300.0,0.0,2,2007
_2,69.0,7599.0,Reg,Corner,other_2,1Story,4,6,1982,2006,Gable,HdBoard,0.0,TA,CBlock,TA,No,ALQ,565.0,280.0,845.0,TA,0.0,845.0,1,1,0,2,TA,0,Detchd,Unf,2,0.0,0.0,6,2007
_3,74.0,10141.0,IR1,Corner,Gilbert,2Story,7,5,1998,1998,Gable,VinylSd,40.0,TA,PConc,Gd,No,Unf,0.0,832.0,832.0,Gd,833.0,1718.0,0,2,1,3,TA,1,Attchd,Fin,2,0.0,94.0,12,2009
_2,85.0,10200.0,Reg,Inside,NAmes,1Story,5,7,1954,2003,Gable,Wd Sdng,104.0,TA,CBlock,TA,No,ALQ,320.0,404.0,1086.0,Gd,0.0,1086.0,1,1,0,3,TA,0,Attchd,Unf,2,0.0,0.0,5,2010
_1,60.0,5790.0,Reg,Corner,OldTown,2Story,3,6,1915,1950,Gambrel,VinylSd,0.0,Gd,CBlock,Fa,No,Unf,0.0,840.0,840.0,Gd,765.0,1605.0,0,2,0,3,TA,0,Detchd,Unf,1,0.0,0.0,5,2010
_1,21.0,1680.0,Reg,Inside,other_1,SLvl,4,5,1973,1973,Gable,CemntBd,0.0,TA,CBlock,Gd,Gd,GLQ,462.0,0.0,462.0,TA,462.0,988.0,1,1,0,2,TA,0,BuiltIn,Unf,1,120.0,101.0,11,2009
_2,70.0,8475.0,IR1,Inside,NAmes,1Story,4,7,1956,1956,Gable,VinylSd,0.0,TA,CBlock,TA,No,ALQ,228.0,724.0,952.0,Ex,0.0,952.0,0,1,0,2,TA,0,Detchd,Unf,1,0.0,0.0,4,2008
_1,50.0,8635.0,Reg,Inside,other_1,1.5Fin,5,5,1948,2001,Gable,Wd Sdng,0.0,TA,CBlock,TA,No,BLQ,336.0,295.0,672.0,TA,213.0,1285.0,1,1,0,2,TA,0,Detchd,Unf,1,0.0,0.0,1,2008
_1,72.0,10778.0,Reg,Inside,Sawyer,1Story,4,5,1968,1968,Hip,HdBoard,0.0,TA,CBlock,TA,No,Unf,0.0,1768.0,1768.0,TA,0.0,1768.0,0,2,0,4,TA,0,Attchd,RFn,0,0.0,0.0,4,2010
_1,60.0,10440.0,Reg,Corner,OldTown,2Story,5,6,1910,1981,Gable,Wd Sdng,0.0,TA,PConc,TA,No,Unf,0.0,440.0,440.0,Gd,548.0,1230.0,0,1,1,2,TA,0,Detchd,Unf,2,74.0,0.0,5,2009
_3,100.0,13000.0,Reg,Corner,NAmes,2Story,6,6,1968,1968,Gable,VinylSd,576.0,TA,CBlock,Gd,No,Rec,448.0,448.0,896.0,TA,960.0,2142.0,0,2,1,4,Gd,1,Attchd,Fin,1,0.0,72.0,6,2009
_2,32.0,4500.0,Reg,FR2,other_2,1Story,6,5,1998,1998,Hip,VinylSd,443.0,TA,PConc,Ex,No,GLQ,1201.0,36.0,1237.0,Ex,0.0,1337.0,1,2,0,2,TA,0,Attchd,Fin,2,0.0,199.0,3,2006
_2,78.0,10206.0,Reg,Inside,Somerst,1Story,8,5,2007,2007,Gable,VinylSd,468.0,TA,PConc,Gd,No,GLQ,33.0,1530.0,1563.0,Ex,0.0,1563.0,0,2,0,3,Gd,1,Attchd,RFn,3,144.0,99.0,10,2008
_2,80.0,8892.0,IR1,Inside,NAmes,1Story,5,5,1960,1960,Gable,MetalSd,66.0,TA,CBlock,TA,No,Unf,0.0,1065.0,1065.0,Gd,0.0,1065.0,0,1,1,3,TA,0,Detchd,Unf,2,74.0,0.0,7,2007
_2,70.0,8530.0,IR1,Inside,Gilbert,SLvl,7,5,1995,1996,Gable,HdBoard,22.0,TA,PConc,Gd,No,Unf,0.0,384.0,384.0,Gd,670.0,1474.0,0,2,1,3,TA,1,BuiltIn,Fin,2,120.0,72.0,5,2009
_3,121.0,16059.0,Reg,Corner,other_4,2Story,8,5,1991,1992,Hip,HdBoard,284.0,Gd,CBlock,Gd,No,Unf,0.0,1288.0,1288.0,Ex,1116.0,2417.0,0,2,1,4,Gd,1,Attchd,Unf,2,127.0,82.0,4,2006
_3,122.0,11911.0,IR2,Inside,Gilbert,2Story,6,5,2005,2005,Gable,VinylSd,0.0,Gd,PConc,Gd,Av,Unf,0.0,684.0,684.0,Ex,876.0,1560.0,0,2,1,3,Gd,1,BuiltIn,Fin,2,100.0,38.0,3,2009
_1,40.0,3951.0,Reg,Corner,Somerst,2Story,6,5,2009,2009,Gable,VinylSd,76.0,Gd,PConc,Gd,Av,Unf,0.0,612.0,612.0,Ex,612.0,1224.0,0,2,1,2,Gd,0,Detchd,RFn,2,0.0,234.0,6,2009
_1,105.0,8470.0,IR1,Corner,other_1,1.5Fin,3,2,1915,1982,Hip,Plywood,0.0,Fa,CBlock,TA,No,Unf,0.0,1013.0,1013.0,TA,0.0,1526.0,0,1,0,2,Fa,0,Attchd,RFn,0,0.0,0.0,10,2009
_2,60.0,8070.0,Reg,Inside,CollgCr,1Story,4,5,1994,1995,Gable,VinylSd,0.0,TA,PConc,Gd,No,GLQ,588.0,402.0,990.0,Ex,0.0,990.0,1,1,0,3,TA,0,Attchd,RFn,0,0.0,0.0,8,2007
_2,60.0,7200.0,Reg,Inside,NAmes,1Story,4,5,1950,1950,Gable,BrkFace,0.0,TA,Slab,Gd,No,GLQ,0.0,0.0,0.0,TA,0.0,1040.0,0,1,0,2,TA,0,Detchd,Unf,2,0.0,29.0,7,2006
_2,85.0,8500.0,Reg,Inside,NAmes,1Story,5,3,1961,1961,Hip,HdBoard,203.0,TA,CBlock,TA,No,Rec,600.0,635.0,1235.0,TA,0.0,1235.0,0,1,0,2,TA,0,Attchd,Unf,2,0.0,0.0,12,2006
_1,80.0,13360.0,IR1,Inside,other_3,1Story,5,7,1921,2006,Gable,Wd Sdng,0.0,TA,BrkTil,Gd,No,ALQ,713.0,163.0,876.0,Ex,0.0,964.0,1,1,0,2,TA,0,Detchd,Unf,2,0.0,0.0,8,2009
_1,60.0,7200.0,Reg,Corner,OldTown,other,6,6,1910,1998,Hip,MetalSd,0.0,TA,BrkTil,TA,Mn,Rec,1046.0,168.0,1214.0,Ex,1031.0,2291.0,0,2,0,4,TA,1,Detchd,Unf,2,0.0,0.0,11,2007
_3,69.0,9337.0,IR1,Inside,CollgCr,2Story,6,5,1997,1997,Gable,VinylSd,0.0,TA,PConc,Gd,No,GLQ,648.0,176.0,824.0,Ex,881.0,1786.0,1,2,1,3,Gd,0,Attchd,RFn,2,0.0,162.0,5,2007
_3,70.0,9765.0,IR2,Corner,Gilbert,2Story,6,8,1993,1993,Gable,VinylSd,68.0,Ex,PConc,Gd,No,ALQ,310.0,370.0,680.0,Gd,790.0,1470.0,0,2,1,3,TA,1,BuiltIn,Fin,2,232.0,63.0,4,2009
_2,78.0,10264.0,IR1,Inside,CollgCr,1Story,7,5,1999,1999,Gable,VinylSd,183.0,Gd,PConc,Gd,Av,ALQ,1162.0,426.0,1588.0,Ex,0.0,1588.0,0,2,0,3,Gd,0,Attchd,RFn,2,158.0,29.0,8,2006
_2,73.0,10921.0,Reg,Inside,Edwards,1Story,4,5,1965,1965,Hip,HdBoard,48.0,TA,CBlock,TA,No,Rec,520.0,440.0,960.0,TA,0.0,960.0,1,1,0,3,TA,0,Attchd,Fin,1,120.0,0.0,5,2007
_1,85.0,10625.0,Reg,Corner,Edwards,1Story,5,5,1920,1950,Gable,Wd Sdng,0.0,TA,BrkTil,TA,No,ALQ,108.0,350.0,458.0,Fa,0.0,835.0,0,1,0,2,TA,0,Basment,Unf,1,0.0,0.0,5,2010
